ranks,true_phis
109,2.2616019248962402
112,2.5010576248168945
25,2.2980268001556396
99,2.7449533939361572
73,2.3257081508636475
110,2.408114194869995
124,2.4530322551727295
22,2.27581524848938
127,2.4044883251190186
90,2.375328540802002
104,2.39251971244812
71,2.4731054306030273
4,2.3712899684906006
119,2.629028797149658
100,2.2434921264648438
111,2.363023281097412
47,2.7702414989471436
91,2.639869213104248
63,2.293093681335449
112,2.4318764209747314
105,2.7223916053771973
86,2.6518707275390625
103,2.556241512298584
18,2.2139036655426025
97,2.3340704441070557
74,2.565150499343872
111,2.7422091960906982
117,2.4187824726104736
50,2.460247755050659
40,2.2164652347564697
35,2.230693817138672
74,2.73276686668396
127,2.4026293754577637
49,2.1886203289031982
29,2.3789095878601074
49,2.4496140480041504
34,2.7213385105133057
88,2.3935184478759766
26,2.6927754878997803
55,2.5076334476470947
22,2.199784994125366
123,2.427631139755249
68,2.4292972087860107
117,2.4409103393554688
40,2.3742618560791016
72,2.2547175884246826
103,2.5828685760498047
121,2.6012158393859863
87,2.3620376586914062
36,2.2620255947113037
85,2.326979875564575
78,2.420593738555908
13,2.232314109802246
46,2.4487788677215576
109,2.551440477371216
84,2.579151153564453
54,2.6317265033721924
82,2.3504245281219482
33,2.5802977085113525
16,2.6561696529388428
107,2.5189571380615234
17,2.5047528743743896
123,2.6976001262664795
80,2.7937610149383545
85,2.243591547012329
102,2.7523889541625977
125,2.549071788787842
76,2.4334616661071777
32,2.7907915115356445
112,2.59916353225708
113,2.5050148963928223
75,2.1624114513397217
46,2.391918182373047
107,2.5663113594055176
71,2.585965871810913
52,2.296518564224243
5,2.308778762817383
75,2.216856002807617
27,2.349674701690674
104,2.6266300678253174
12,2.479236602783203
13,2.5510120391845703
52,2.6295337677001953
29,2.5955097675323486
72,2.278270721435547
107,2.4488155841827393
58,2.49137020111084
125,2.677198886871338
51,2.522592782974243
96,2.2433080673217773
67,2.531911849975586
123,2.7179114818573
22,2.442354917526245
102,2.6758859157562256
115,2.7392215728759766
120,2.8407082557678223
117,2.4929680824279785
101,2.543447256088257
47,2.1990432739257812
101,2.530674934387207
55,2.5174412727355957
97,2.5796782970428467
90,2.619201898574829
100,2.713486671447754
68,2.429163932800293
44,2.3581182956695557
74,2.5059921741485596
117,2.7802646160125732
117,2.3906540870666504
123,2.739433765411377
29,2.555180311203003
74,2.450669527053833
39,2.589358329772949
54,2.552079916000366
43,2.6683852672576904
116,2.3413002490997314
46,2.303380012512207
120,2.3976292610168457
116,2.429431200027466
31,2.694138526916504
8,2.5621025562286377
29,2.445845127105713
12,2.444575786590576
51,2.4289236068725586
75,2.393394947052002
122,2.9416885375976562
66,2.5047528743743896
79,2.7770941257476807
111,2.784240484237671
59,2.4383413791656494
46,2.4293413162231445
12,2.2534024715423584
21,2.4424264430999756
121,2.334502696990967
85,2.362015962600708
125,2.4323956966400146
54,2.6135196685791016
92,2.5287811756134033
62,2.650357246398926
53,2.5871078968048096
63,2.3245768547058105
96,2.324714183807373
82,2.6603527069091797
73,2.343402862548828
19,2.308781385421753
103,2.2588937282562256
86,2.3959553241729736
97,2.440237283706665
34,2.5507652759552
46,2.425041437149048
54,2.4802300930023193
104,2.5210721492767334
64,2.4201278686523438
99,2.726360321044922
123,2.788069725036621
40,2.669410467147827
41,2.659857988357544
11,2.3658037185668945
12,2.4885501861572266
54,2.311206817626953
63,2.6069366931915283
71,2.4941508769989014
77,2.5149688720703125
50,2.242873191833496
115,2.588771343231201
44,2.6829938888549805
53,2.754822254180908
58,2.3484325408935547
50,2.306971549987793
8,2.3147385120391846
71,2.5876102447509766
84,2.393739938735962
112,2.3344647884368896
61,2.51297926902771
90,2.5051944255828857
72,2.5436229705810547
47,2.5223982334136963
94,2.405897378921509
2,2.5391507148742676
12,2.487227201461792
79,2.2462902069091797
21,2.49029278755188
57,2.3948397636413574
73,2.558105230331421
22,2.3737974166870117
106,2.674206256866455
89,2.366884469985962
128,2.4590001106262207
121,2.467541217803955
34,2.1733407974243164
123,2.7651114463806152
103,2.393394947052002
80,2.5959911346435547
70,2.2165114879608154
81,2.268803358078003
116,2.3092594146728516
55,2.6948094367980957
110,2.6109697818756104
85,2.6909542083740234
57,2.6199233531951904
114,2.845374822616577
119,2.5308759212493896
39,2.409235954284668
29,2.4026293754577637
95,2.2713027000427246
27,2.1409568786621094
8,2.594064950942993
105,2.5080268383026123
53,2.693321466445923
46,2.521500825881958
79,2.400752305984497
70,2.6711485385894775
125,2.3707492351531982
35,2.5606234073638916
114,2.227311849594116
79,2.4620978832244873
32,2.6641619205474854
95,2.480811834335327
64,2.303884983062744
30,2.6456782817840576
124,2.4182050228118896
127,2.8051276206970215
107,2.420060634613037
88,2.4646270275115967
118,2.4351260662078857
44,2.537517786026001
11,2.2763826847076416
94,2.379565715789795
83,2.6776187419891357
117,2.763322353363037
25,2.447023391723633
57,2.2422444820404053
114,2.3115200996398926
59,2.2347166538238525
12,2.3213436603546143
41,2.6896867752075195
87,2.3096401691436768
4,2.2250967025756836
32,2.4181182384490967
83,2.3911426067352295
81,2.6616809368133545
43,2.6683037281036377
119,2.786038637161255
103,2.3692069053649902
116,2.5545318126678467
100,2.711453914642334
88,2.3016200065612793
26,2.3629884719848633
36,2.200474739074707
119,2.3013999462127686
67,2.3333797454833984
42,2.2164652347564697
103,2.4736382961273193
106,2.781954050064087
38,2.520927906036377
96,2.226780891418457
70,2.7714574337005615
94,2.4726624488830566
85,2.254164934158325
91,2.3999102115631104
85,2.193051338195801
103,2.5279133319854736
18,2.359788417816162
